earthquake_date,latitude,key_2,longitude,decg,dbhg,decr,dbhr,mfig,mfir,mdig,mdir,time,magnitude
2024-08-17 19:10:26.707,52.9242,2024-08-17,160.1413,0.162,0.0,0.051,0.0,116.1,10.2,0.085,0.018,2024-08-17 19:10:26.707,7.0
2024-08-08 07:42:55.242,31.7581,2024-08-08,131.5191,0.109,0.0,0.031,0.0,99.5,13.6,0.119,0.021,2024-08-08 07:42:55.242,7.1
2024-07-19 01:50:48.571,-23.0791,2024-07-19,-67.8404,0.164,0.0,0.027,0.0,72.4,18.2,0.296,0.028,2024-07-19 01:50:48.571,7.4
2024-07-11 02:13:18.585,6.0838,2024-07-11,123.1503,0.096,0.0,0.022,0.0,66.0,46.0,0.195,0.019,2024-07-11 02:13:18.585,7.1
2024-06-28 05:36:36.902,-15.8277,2024-06-28,-74.454,0.147,0.0,0.03,0.0,62.7,37.0,0.293,0.021,2024-06-28 05:36:36.902,7.2
2024-04-02 23:58:12.173,23.8356,2024-04-02,121.5976,0.118,0.0,0.028,0.0,107.2,17.1,0.169,0.023,2024-04-02 23:58:12.173,7.4
2024-01-22 18:09:04.340,41.2555,2024-01-22,78.6538,0.205,0.0,0.04,0.0,171.3,10.0,0.126,0.02,2024-01-22 18:09:04.340,7.0
2024-01-01 07:10:09.476,37.4874,2024-01-01,137.271,0.12,0.0,0.034,0.0,105.8,11.5,0.107,0.021,2024-01-01 07:10:09.476,7.5
2023-12-07 12:56:30.184,-20.6152,2023-12-07,169.3089,0.11,0.0,0.041,0.0,98.9,13.6,0.122,0.029,2023-12-07 12:56:30.184,7.1
2023-12-02 14:37:04.454,8.5266,2023-12-02,126.4161,0.139,0.0,0.021,0.0,94.9,41.7,0.282,0.023,2023-12-02 14:37:04.454,7.6
2023-11-08 04:53:49.631,-6.416,2023-11-08,129.5466,0.122,0.0,0.023,0.0,105.6,17.9,0.195,0.028,2023-11-08 04:53:49.631,7.1
2023-08-28 19:55:30.875,-6.7888,2023-08-28,116.5211,0.117,0.0,0.022,0.0,105.3,17.9,0.183,0.028,2023-08-28 19:55:30.875,7.1
